iter	Passed	Remaining
496	910	921
497	911	918
498	912	916
499	913	913
500	915	911
501	916	908
502	917	906
503	918	904
504	920	901
505	922	900
506	923	897
507	924	895
508	925	893
509	927	890
510	928	888
511	929	886
512	930	883
513	932	881
514	933	878
515	934	876
516	936	874
517	937	872
518	938	870
519	940	867
520	941	865
521	942	863
522	943	860
523	945	858
524	946	856
525	947	853
526	948	851
527	950	850
528	952	847
529	953	845
530	954	843
531	956	841
532	957	838
533	958	836
534	959	834
535	961	831
536	962	829
537	963	827
538	965	825
539	966	823
540	967	821
541	969	818
542	970	816
543	971	814
544	972	812
545	974	810
546	975	808
547	976	805
548	978	803
549	980	802
550	981	799
551	982	797
552	984	795
553	985	793
554	986	790
555	987	788
556	988	786
557	990	784
558	991	782
559	992	779
560	994	778
561	995	775
562	996	773
563	998	771
564	999	769
565	1000	767
566	1001	764
567	1002	762
568	1004	760
569	1005	758
570	1006	756
571	1008	754
572	1010	752
573	1011	750
574	1012	748
575	1013	746
576	1015	744
577	1016	742
578	1018	740
579	1019	738
580	1020	736
581	1021	733
582	1023	731
583	1024	729
584	1026	727
585	1027	725
586	1028	723
587	1029	721
588	1031	719
589	1032	717
590	1033	715
591	1035	713
592	1036	711
593	1038	709
594	1039	707
595	1041	705
596	1042	703
597	1044	701
598	1045	699
599	1046	697
600	1047	695
601	1048	693
602	1050	691
603	1051	689
604	1053	687
605	1054	685
606	1055	683
607	1057	681
608	1058	679
609	1059	677
610	1060	675
611	1062	673
612	1063	671
613	1064	669
614	1065	667
615	1067	665
616	1069	663
617	1070	661
618	1072	659
619	1073	657
620	1074	655
621	1075	653
622	1076	651
623	1078	649
624	1079	647
625	1080	645
626	1082	643
627	1083	641
628	1085	640
629	1086	638
630	1087	636
631	1088	634
632	1090	632
633	1091	629
634	1092	627
635	1093	625
636	1094	623
637	1097	622
638	1099	620
639	1100	619
640	1101	617
641	1102	615
642	1104	613
643	1105	611
644	1106	609
645	1107	607
646	1108	605
647	1110	603
648	1111	601
649	1113	599
650	1115	598
651	1117	596
652	1118	594
653	1120	592
654	1121	590
655	1122	588
656	1123	586
657	1125	584
658	1127	583
659	1128	581
660	1129	579
661	1130	577
662	1132	575
663	1133	573
664	1134	571
665	1135	569
666	1136	567
667	1138	565
668	1139	563
669	1141	562
670	1142	560
671	1143	558
672	1145	556
673	1146	554
674	1147	552
675	1149	550
676	1150	548
677	1151	546
678	1152	544
679	1154	543
680	1156	541
681	1157	539
682	1158	537
683	1160	535
684	1161	533
685	1162	532
686	1163	530
687	1164	528
688	1166	526
689	1167	524
690	1168	522
691	1170	520
692	1171	518
693	1172	517
694	1174	515
695	1175	513
696	1176	511
697	1177	509
698	1178	507
699	1179	505
700	1181	503
701	1182	501
702	1184	500
703	1186	498
704	1187	496
705	1188	494
706	1189	492
707	1190	490
708	1191	489
709	1192	487
710	1194	485
711	1195	483
712	1197	481
713	1198	480
714	1200	478
715	1201	476
716	1203	474
717	1204	472
718	1205	471
719	1206	469
720	1207	467
721	1209	465
722	1210	463
723	1211	461
724	1214	460
725	1215	458
726	1216	456
727	1218	455
728	1219	453
729	1220	451
730	1221	449
731	1222	447
732	1224	445
733	1225	444
734	1226	442
735	1228	440
736	1229	438
737	1230	437
738	1232	435
739	1233	433
740	1234	431
741	1235	429
742	1237	427
743	1238	426
744	1240	424
745	1241	422
746	1243	421
747	1244	419
748	1245	417
749	1247	415
750	1248	413
751	1249	412
752	1250	410
753	1252	408
754	1253	406
755	1254	405
756	1256	403
757	1257	401
758	1259	399
759	1260	398
760	1261	396
761	1262	394
762	1264	392
763	1265	391
764	1267	389
765	1268	387
766	1269	385
767	1270	383
768	1272	382
769	1274	380
770	1275	378
771	1276	377
772	1277	375
773	1279	373
774	1280	371
775	1282	370
776	1283	368
777	1284	366
778	1285	364
779	1287	363
780	1288	361
781	1289	359
782	1291	357
783	1292	356
784	1293	354
785	1294	352
786	1296	350
787	1297	349
788	1298	347
789	1299	345
790	1302	344
791	1303	342
792	1304	340
793	1305	338
794	1307	337
795	1308	335
796	1309	333
797	1310	331
798	1311	330
799	1313	328
800	1314	326
801	1316	324
802	1317	323
803	1318	321
804	1319	319
805	1321	318
806	1322	316
807	1323	314
808	1324	312
809	1326	311
810	1327	309
811	1328	307
812	1330	306
813	1332	304
814	1333	302
815	1334	300
816	1336	299
817	1336	297
818	1338	295
819	1339	294
820	1340	292
821	1342	290
822	1343	288
823	1345	287
824	1346	285
825	1348	283
826	1349	282
827	1350	280
828	1351	278
829	1353	277
830	1354	275
831	1355	273
832	1357	272
833	1358	270
834	1360	268
835	1362	267
836	1363	265
837	1364	263
838	1365	262
839	1367	260
840	1368	258
841	1369	257
842	1371	255
843	1372	253
844	1373	252
845	1376	250
846	1377	248
847	1378	247
848	1380	245
849	1381	243
850	1382	242
851	1383	240
852	1385	238
853	1386	237
854	1387	235
855	1390	233
856	1391	232
857	1393	230
858	1394	228
859	1395	227
860	1396	225
861	1398	223
862	1399	222
863	1400	220
864	1402	218
865	1403	217
866	1405	215
867	1406	213
868	1407	212
869	1409	210
870	1410	208
871	1411	207
872	1413	205
873	1414	203
874	1415	202
875	1417	200
876	1419	199
877	1420	197
878	1421	195
879	1423	194
880	1424	192
881	1425	190
882	1427	189
883	1428	187
884	1429	185
885	1431	184
886	1432	182
887	1434	180
888	1435	179
889	1437	177
890	1438	175
891	1439	174
892	1440	172
893	1442	171
894	1443	169
895	1445	167
896	1447	166
897	1449	164
898	1450	162
899	1451	161
900	1453	159
901	1454	158
902	1455	156
903	1457	154
904	1458	153
905	1460	151
906	1462	149
907	1464	148
908	1466	146
909	1467	145
910	1469	143
911	1470	141
912	1471	140
913	1472	138
914	1474	136
915	1475	135
916	1477	133
917	1479	132
918	1480	130
919	1481	128
920	1483	127
921	1484	125
922	1485	123
923	1487	122
924	1488	120
925	1490	119
926	1491	117
927	1493	115
928	1494	114
929	1495	112
930	1497	110
931	1498	109
932	1500	107
933	1501	106
934	1502	104
935	1503	102
936	1504	101
937	1506	99
938	1507	97
939	1509	96
940	1510	94
941	1511	93
942	1512	91
943	1513	89
944	1515	88
945	1516	86
946	1517	84
947	1519	83
948	1520	81
949	1522	80
950	1523	78
951	1524	76
952	1525	75
953	1527	73
954	1528	72
955	1529	70
956	1530	68
957	1532	67
958	1533	65
959	1534	63
960	1536	62
961	1538	60
962	1539	59
963	1540	57
964	1541	55
965	1543	54
966	1544	52
967	1546	51
968	1547	49
969	1548	47
970	1549	46
971	1551	44
972	1552	43
973	1554	41
974	1555	39
975	1556	38
976	1557	36
977	1558	35
978	1560	33
979	1561	31
980	1562	30
981	1563	28
982	1565	27
983	1567	25
984	1568	23
985	1569	22
986	1571	20
987	1572	19
988	1573	17
989	1575	15
990	1576	14
991	1577	12
992	1579	11
993	1580	9
994	1581	7
995	1583	6
996	1584	4
997	1586	3
998	1587	1
999	1588	0
